id,song,artist,week,valence,track_id,lyrics
941,інша любов,ENLEO,2023-03-10,0.117,6JrGELYUIbZvBV74j4Q5LN,
942,"Гей, соколи!","Олександр Пономарьов, Mykhailo Khoma",2023-03-10,0.25,52svW6CzofE8R7hXXwGgxR,
943,Місяць на небі,Artem Pivovarov,2023-03-10,0.0396,2qj7j73NDERMoiTC5kJdzH,
944,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2023-03-10,0.502,3sa06xVNmLLYIxdNNmVQN8,
945,Лелека,"MamaRika, YAKTAK",2023-03-10,0.542,13gy7wNdXhofTQyWHK1UbP,
946,Won't Forget You (Edit),Shouse,2023-03-10,0.555,3I10tZ5MgEMo4WryCNJkZQ,
947,На белом,"Kaspiyskiy Gruz, Gio Pika",2023-03-10,0.675,5scQN08xNRz7Qm7YkBoLdl,
948,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2023-03-10,0.172,2dHHgzDwk4BJdRwy9uXhTO,
949,Fool Me Once,Olivia Addams,2023-03-10,0.609,2ceMvjyfDeGVFmscZY438U,
950,Моя країна,Arsen Mirzoyan,2023-03-10,0.513,1MBiKjChdXChGDwxJxm9ib,
951,Хай нам брате пощастить,YARMAK,2023-03-10,0.551,3xsJI27A38XFbE3CsUGwXi,
952,Добрий день Everybody,"Мюслі UA, VASIA CHARISMA",2023-03-10,0.572,7xIlDDAM1RpASn4o16S2F3,
953,Моя Украïна,"TamerlanAlena, Andi Vax",2023-03-10,0.442,5vmTyrE2mSg9wvAFNLRaOr,
954,Окупанту,MBreeze,2023-03-10,0.968,09NXCjWIBMQDQLOv6AMyDN,
955,ily (i love you baby) (Topic Remix) [feat. Emilee],"Surf Mesa, Topic, Emilee",2023-03-10,0.589,4TpXLhpLYQPMHM1A8W9J84,
956,Листопадом,Gio Pika,2023-03-10,0.526,4RARkHhFbZFR7A2C5ySla2,
957,Alugalug Cat (Symphonic Mashup),The Kiffness,2023-03-10,0.519,4V9kve9oiv2k4zyY0JEwqP,
958,Жовті мальви,Wellboy,2023-03-10,0.527,0AOdFwG2mTBtF4NFCqYvpl,
959,Ты так красива,Quest Pistols,2023-03-10,0.785,73O5XIJJGhN7oFqkhffMi1,
960,Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",2023-03-10,0.0348,2prnn41CblB8B4yWACDljP,
961,"Там, де",Ivan NAVI,2023-03-10,0.814,3mYqEtddAhUoLHkPLdARQn,
962,Heart of Steel,TVORCHI,2023-03-10,0.338,155yInH5aDNEI1MkcX6NNk,
963,Секрет,Druha Rika,2023-03-10,0.0626,4oKWt2qEQiIftqzkdKQdcs,
964,The Motto - Robert Georgescu & White Remix,"Tiësto, Ava Max, Robert Georgescu & White",2023-03-10,0.828,6jiiZursE0NfrjmThWe8f6,
965,Без неї ніяк,BEZ OBMEZHEN,2023-03-10,0.497,20UZZf0rdvLVBKofYUHzvK,
966,abcdefu,GAYLE,2023-03-10,0.415,4fouWK6XVHhzl78KzQ1UjL,
967,Rampampam,Minelli,2023-03-10,0.437,1esZgaqm0YKN87CIP3orJ3,
